language,id,text,documents.id,documents.score
en,1,How do you get rid of cramps,1,0.0895146728
en,2,What causes menstrual cramps?,2,0.0549329817
en,3,What causes cramps?,3,0.0475569367
en,4,What is dysmenorrhea,4,0.1986003816
en,5,How do i get rid of cramps?,5,0.0895146728
en,6,What are cramps?,6,0.0083152354
en,7,how do u get rid of cramps,7,0.1323330998
en,8,What helps menstrual cramps?,8,0.1001388729
en,9,Whats the best way to get rid of cramps?,9,0.1891030073
en,10,How do you get rid of period cramps?,10,0.1192030609
en,11,What helps period cramps?,11,0.1000007987
en,12,Why do menstrual cramps hurt?,12,0.0409392416
en,13,"When you are pregnant and you miss your period, do the cramps that you get with the missing your period are they short and quick and feel like you are going to",13,0.0120939612
en,14,Good food for cramps,14,0.7755262256
en,15,what helps with cramps?,15,0.1358895004
en,16,What is the best way to get rid of period cramps?,16,0.2266736627
en,17,Why do you get cramps when your on your period?,17,0.0652089417
en,18,how to get rid of period cramps,18,0.1104664803
en,19,What causes muscle cramps,19,0.0374288261
en,20,How to get rid of menstrual cramps?,20,0.0837714374
en,21,what side of the abdomen cramps when you are pregnant?,21,0.0751106143
en,22,Why do women get cramps?,22,0.0466581285
en,23,Can that pill cause cramps?,23,0.0715942383
en,24,How do you get rid of a cramp?,24,0.1391202807
en,25,How can you make cramps go away,25,0.0636130273
en,26,What helps stomach cramps?,26,0.120100379
en,27,What helps with menstrual cramps,27,0.1030270755
en,28,What do period cramps feel like?,28,0.0669058263
en,29,my symtoms r weakness cough nausea diaharea severe stomach cramps what could it be GG,29,0.0109065473
en,30,How can i make my cramps go away?,30,0.0517907739
en,31,Whats the best way to help cramps,31,0.7662558556
en,32,What helps menstral cramps,32,0.0555008948
en,33,What foods help with menstral cramps,33,0.0425833464
en,34,What is implantation cramping,34,0.1109362543
en,35,Lulu when dogs go into heat do they get cramps? <S<3'sB>,35,0.1197340488
en,36,What helps stop cramps?,36,0.0473764837
en,37,how do you get rid of cramps without medicine?,37,0.1124854386
en,38,Lulu do you have cramps during the implantation of a baby?,38,0.0692733824
en,39,"I am 8-9 days late for my period and I've been having off and on really faint cramps like once or twice a day, could I be pregnant?",39,0.1492332518
en,40,How can u get rid of cramps,40,0.1455664337
en,41,What are some ways to cure cramps?,41,0.0871401429
en,42,What food helps menstrual cramps?,42,0.1185975671
en,43,Do you cramp during implantation,43,0.0690045059
en,44,Cramping but no period,44,1.00135803222656E-005
en,45,How to make menstrual cramps go away,45,0.0551865399
en,46,What food helps with cramps?,46,0.1604111791
en,47,what's the best remedy for menstrual cramps?,47,0.2352677882
en,48,Period cramp remedy,48,0.123198837
en,49,why do you cramp while your on your period?,49,0.0621116459
en,50,Does birth control prevent cramps?,50,0.0241371989
en,51,Whyy do i have bad cramps?,51,0.0399340987
en,52,what causes stomach cramps sweating and dizziness,52,0.1108280122
en,53,Cramps 10 days after outlatinn.. Could this mean pregnancy?,53,0.018767029
en,54,Where do you get cramps at in your stomach when your pregnant?,54,0.1271942854
en,55,How do you prevent muscle cramps,55,0.0814358294
en,56,What to do for period cramps,56,0.0389442742
en,57,what causes cramps in only one foot?,57,0.0635130107
en,58,how do I cure cramps?,58,0.0970248282
en,59,Why do my feet always cramp?,59,0.0147134066
en,60,What do gas cramps feel like?,60,0.0618136227
en,61,is there a certain way to lay that will stop my stomach cramps?,61,0.0569035113
en,62,what are pelvic cramps?,62,0.0006543994
en,63,How do you relieve cramps in school?,63,0.1442487836
en,64,"If I have been experiencing some abdominal pain and my last period only lasted for a day, is there any way I can be pregnant?",64,0.0978336036
en,65,"No, how do i minimize the pain of menstrual cramps?",65,0.0427947044
en,66,Could there be a problem if your stomach constantly cramps or stings.?,66,0.0455826819
en,67,How do you prevent thigh cramps,67,0.114526242
en,68,How do u get ride of cramps,68,0.1590856016
en,69,What causes cramps on your period,69,0.1241935194
en,70,Do women have period pains when they're pregnant?,70,0.1809834242
en,71,what is the best thing to take for cramps?,71,0.1925179064
en,72,Def of dysmenorrhea,72,0.7493431568
en,73,What could cramps mean for a woman whos not on their period and just had their period,73,0.2137480378
en,74,Why do periods come with cramps,74,0.0524844229
en,75,Menstral cramps hurt like a bitch how do i take care of the pain!,75,0.0195311308
en,76,what causes severe menustral cramps?,76,0.0055199564
en,77,Do you cramp in early pregnancy?,77,0.0627112389
en,78,Do you get cramps when you get pregnancy spotting?,78,0.0520056784
en,79,Im 11 days late for my period. Im nautious an cramping. Is it gud or bad?,79,0.0572076738
en,80,what heals cramps?,80,0.1214435399
en,81,I got cramps and bloating and constipation'.. Is this normal?,81,0.1531277001
en,82,for the past week after everytime i eat i feel like i have menstural cramps but im not on my period. what is it?  S<3sB,82,0.0848785341
en,83,Im not pregnant and the pain like cramps are in my right knee only what does that mean?,83,0.0286705196
en,84,What is Dysmenorreha?,84,0.2883099318
en,85,What does it mean when your cramping? But you just got off your period,85,0.7620428801
en,86,Does your period include cramps and vomiting?,86,0.1376268268
en,87,Remedies for period cramps,87,0.1074676514
en,88,does chocolate help with period cramps?,88,0.059114188
en,89,Is heat good for menstral cramps?,89,0.2108659148
en,90,when would i start cramping because of pregnancy?,90,0.1125742197
en,91,are there an excersizes that will help get rid of cramps? l3r!cl <3,91,0.9843382835
en,92,do you get cramping when the sperm is traveling through you?,92,0.094641
en,93,Wat helps with menstrual cramps Faith......Hope......Love <3,93,0.9978664517
en,94,Whats the best thing to do for period cramps???,94,0.16934219
en,95,do implantations cramps last more than three weeks?,95,0.1091690361
en,96,What can you do to stop cramps,96,0.0776157081
en,97,Why does women cramp when they are on their menstrual cycle?,97,0.17617172
