language,id,text,documents.id,documents.score
en,1,Ywau can cause period like cramps that are severely painful.,1,0.0329612195
en,2,Y do u get cramps when u r on ur period,2,0.1348263025
en,3,Wuts good for cramps??,3,0.1784455776
en,4,Would it give you cramps?,4,0.169472158
en,5,Will you have cramps 1 to 2 weeks after conception,5,0.0883060694
en,6,Will sitting on the toilet for long periods of time help the pain of a bladder infection go away?,6,0.0755830407
en,7,Will masturbating help relieve cramps,7,0.0686493814
en,8,Will i get cramps if i might be pregnant?,8,0.121778965
en,9,Whydo i keep getting cramps in my calves,9,0.0505701303
en,10,Why would ones fingers cramp and curl?,10,0.0788536072
en,11,"Why does period cramps hurt so bad, I cant sleep !!",11,0.0034884214
en,12,why does liquid moving around in your stomach give you cramps?,12,0.1390331686
en,13,Why do you have constant cramping in your ovaries?,13,0.1833690703
en,14,Why do you get random cramps,14,0.0127234757
en,15,Why do you get cramps when your on your period?,15,0.0652089417
en,16,Why do you get cramps when you're on your period?,16,0.0696561337
en,17,Why do you get cramps on your period,17,0.0580066442
en,18,why do you cramp while on your period,18,0.0553871393
en,19,Why do you cramp when your on your period,19,0.0621116459
en,20,Why do women get cramps on their periods?,20,0.1263484657
en,21,why do women get cramps during thier menstrual cycle? 'SUPERFICIAL',21,0.0840276778
en,22,why do women get cramps,22,0.0466581285
en,23,Why do women cramp the day after ovulating?,23,0.0957567692
en,24,Why do women cramp during their period,24,0.153966397
en,25,why do we get cramps? Grant Loves You :) <3,25,0.996101439
en,26,Why do pregnant women cramp during the first trimester of pregnancy,26,0.1247417927
en,27,Why do ladys get cramps,27,0.0089572668
en,28,why do i have menstral cramps days after my period Doti,28,0.0526497066
en,29,"Why do i have back aches, stomach cramps, sore nipples, and spotting?",29,0.0130979121
en,30,Why do i cramp before i come on my menstrual cycle?,30,0.0694126189
en,31,Why do girls have cramps while on the depot shot,31,0.09081617
en,32,why do girls have cramps when they are on their periods?,32,0.130038023
en,33,Why do athletes who get cramps drink pickle juice?,33,0.0482573807
en,34,Why are there Cramps in my feet?,34,0.0375678539
en,35,While on your period is it possible to conceive LOVE*N*PAIN,35,0.2410615087
en,36,Which stretching technique is very useful for reducing muscle cramping?,36,0.8693072796
en,37,Which is better for menstrul cramps Aleve or Ibuprofen?,37,0.8157066107
en,38,Which is better for menstral cramps: pamprin or midol?,38,0.7641361952
en,39,where do menstrual cramps usually occure?,39,0.0495252013
en,40,Where are female cramps located,40,0.0666386485
en,41,When you are in you first weeks of pregnancy can you cramp alot? Squirt&MonkeyXD,41,0.1668103337
en,42,When ur just a few weeks pregnant will u have cramps?,42,0.2312504947
en,43,When is the most common time for woman to feel cramping during their menstrual cycle?,43,0.7045540214
en,44,When do you experience early pregnancy cramps?,44,0.0553347766
en,45,When a woman has implantation bleeding does she still have cramps like its her period?,45,0.0541433394
en,46,When a girl has cramps wat do they feel like,46,0.0697235465
en,47,Whats the best way to get rid of cramps and control pms?,47,0.2156169713
en,48,whats the best way to eliminate period cramps,48,0.2001079619
en,49,Whats the best thing for menstral cramps,49,0.1958113313
en,50,Whats the best and fastes+ way to ease menstrual cramps?,50,0.1690262556
en,51,Whats something tht will help pms cramps really well and quick,51,0.9022065401
en,52,What's the best thing for dehydration cramps?,52,0.2386386096
en,53,what's a way to get rid of cramps?! :/,53,0.0052029788
en,54,What's a great natural remedy for cramps?,54,0.9238023758
en,55,What would cause bad cramps?,55,0.0767875016
en,56,what takes away cramps eMiLeE kOoNtZ:),56,0.0976147056
en,57,What should you do when you have bad cramps?,57,0.0613207221
en,58,What should u eat for cramps?,58,0.2364960611
en,59,What r cramps ??,59,0.0634019077
en,60,What percent of women suffer from menstral cramps,60,0.0340739787
en,61,What pain would you have before your missed period if you were pregnant and were would it be?,61,0.1204652488
en,62,What omedication is best for menstrual cramps?uLUCKY YOUu,62,0.8224039674
en,63,What mineral found in bananas and spinach can prevent muscle cramps,63,0.1090765595
en,64,What makes your period menstrual cramps worse,64,0.1580185294
en,65,What kind of foods help menstrual cramps?,65,0.0848355591
en,66,What it mean if u hav cramp all the time HeKnwWatIWnt$*,66,0.1827334166
en,67,What is the pain equivalent of a period for a man?,67,0.1433209181
