language,id,text,documents.id,documents.score
en,1,How do you get rid of cramps,1,0.0895146728
en,2,how do you get rid of menstrual cramps?,2,0.0943425298
en,3,How do you get rid of cramps?,3,0.0895146728
en,4,What helps period cramps,4,0.1000007987
en,5,How can you get rid of menstrual cramps,5,0.0877696276
en,6,What causes menstral cramps?,6,0.0210720003
en,7,How can you get rid of cramps,7,0.0832922757
en,8,What is Dysmenorrhea?,8,0.2883099318
en,9,What are cramps?,9,0.0083152354
en,10,How do you relieve cramps?,10,0.1114102602
en,11,How to get rid of cramps,11,0.0785882771
en,12,what are menstrual cramps?,12,0.0275947154
en,13,What helps cramps?,13,0.1008227766
en,14,How do you get rid of period cramps?,14,0.1192030609
en,15,how can i get rid of cramps?,15,0.0832922757
en,16,What helps period cramps?,16,0.1000007987
en,17,how do you get rid of menstraul cramps?,17,0.0718973875
en,18,How do you get rid of period cramps,18,0.1192030609
en,19,Why do girls get cramps,19,0.0548139215
en,20,Why do you get cramps when you're on your period?,20,0.0696561337
en,21,How do i get rid of period cramps?,21,0.1192030609
en,22,How do you soothe cramps?,22,0.1746513546
en,23,Do you cramp when your pregnant?,23,0.051379025
en,24,Does your stomach cramp when your pregnant?,24,0.0556464195
en,25,Why do I get cramps on my period?,25,0.0430987477
en,26,how to get rid of period cramps,26,0.1104664803
en,27,What helps with cramps,27,0.1358895004
en,28,How to get rid of menstral cramps?,28,0.0597343445
en,29,Why do you cramp when you're on your period?,29,0.0632196069
en,30,Are cramps a sign of pregnancy,30,0.0795205832
en,31,how to get rid of cramps?,31,0.0785882771
en,32,do bananas help menstrual cramps?,32,0.1001673341
en,33,How do u make cramps go away?,33,0.0818878412
en,34,What is a good way to get rid of period cramps?,34,0.2162469625
en,35,What can I do to make my menstrual cramps go away?,35,0.0788775682
en,36,Whats good for cramps?,36,0.1704446077
en,37,how do you stop stomach cramps?,37,0.0396153033
en,38,What helps get rid of cramps,38,0.1081011295
en,39,Why do you get cramps while your on your period?,39,0.0652089417
en,40,What foods help cramps?,40,0.0770865977
en,41,What are some home remedies for menstrual cramps?,41,0.1107726097
en,42,How do you make cramps go away,42,0.0675395429
en,43,How do you ease menstrual cramps?,43,0.076725632
en,44,How do i make cramps go away?,44,0.0675395429
en,45,Lulu can you still cramp after spotting when you are pregnant,45,0.1040226817
en,46,Do women have cramps during pregnancy,46,0.1797075272
en,47,What can help cramps when your on your period?,47,0.1877082586
en,48,Does chocolate really help cramps?,48,0.049400568
en,49,WhAt can i do for cramps?,49,0.1240928173
en,50,what are some ways to relieve cramps?,50,0.1105476916
en,51,Why do we have cramps?,51,0.0467559695
en,52,What do you do for cramps,52,0.0532201827
en,53,Do women cramp alot when their pregnant?,53,0.2398574054
en,54,How can you ease period cramp pains?,54,0.0961229801
en,55,how can you stop cramps?,55,0.0319488347
en,56,Why do girls get cramps when there on their period,56,0.1154256463
en,57,Is lower belly crampz a sign 0f preagnacey,57,0.2455542684
en,58,What food helps period cramps?,58,0.1184498072
en,59,What does it mean when you have cramps after your period?,59,0.1815150976
en,60,what do you do when stomach cramps make you feel really sick??,60,0.004442215
en,61,How do i get rid of menstral cramps,61,0.0718973875
en,62,Why do girls cramp when they get their period?,62,0.1111245155
en,63,Lulu how does inducing an orgasm help with cramps?,63,0.0750747621
en,64,What can you do to get rid of menstural cramps?,64,0.0987069011
en,65,"Lulu, im havin stomach cramps so bad i cant move, what does it mean?",65,0.0525238514
en,66,Are cramps a symtom of pregnancy?,66,0.0214007497
en,67,How can i stop da pain caused by ma period,67,0.0634601712
en,68,What are reasons for back aches painful cramps and missed period,68,0.0113846958
en,69,Do you cramp when your 1st pregnant after a few weeks or is that just a sign your getting ready to start your period your not pregnant ?,69,0.2261176407
en,70,fast home remedies 4 cramps please?,70,0.1464326084
en,71,Cause of period cramps.,71,0.0835314095
en,72,What else besides a heating pad and chamomile tea and a warm bath helps with cramps,72,0.7635828257
en,73,How do cramps occur?,73,0.1364996731
en,74,Lulu a muscle cramp is do to what?,74,0.1606411934
en,75,what are cramps a sign of,75,0.0648759007
en,76,how to help period cramps,76,0.1345290542
en,77,Does drinking milk help menstrual cramps,77,0.0765169561
en,78,What should i do for cramps?,78,0.1053957641
en,79,Do bananas help with cramping?,79,0.698608458
en,80,Can cramping also be a sign of being pregnant,80,0.2168703973
en,81,Do u think doing breathing exersises can releave cramps?,81,0.1746246815
en,82,Is it normal to get cramps ten days early?,82,0.135528028
en,83,How do u make cramps go away??,83,0.0818878412
en,84,What kind of food helps menstrual cramps?,84,0.1185975671
en,85,What's a good way to get rid of cramps when you're on your period?,85,0.8259623051
en,86,What helps cramps besides medicine?,86,0.1258350909
en,87,*how do u make cramps go away,87,0.0818878412
en,88,Can you get a cramp in your tounge?,88,0.1356988549
en,89,what does ibuprofen do if you take it to relieve period cramps?,89,0.0849540532
en,90,Is it normal for cramping to occur during pregnancy? .mrs.white<3.,90,0.2123506367
en,91,what causes cramps after an orgasm?,91,0.0414855182
en,92,What is a period cramp,92,0.0685144067
en,93,how do you get rid of period cramps without using medicine?,93,0.246614784
en,94,Cure for menstrual cramps?,94,0.0999481678
en,95,What is a good remedie for calf muuscle cramps???,95,0.1937691569
en,96,what food or drink helps cramps?,96,0.1688636839
en,97,How can you tell the differenc between a period cramp and a pregnancy cramp?,97,0.0680003166
en,98,whAt is the best pain reliever for cramps?,98,0.0980239213
en,99,Why do i get random little cramps when im not on my period?,99,0.0408428013
en,100,"Period cramping, but I'm only on my first week of birth control. Is that normal?",100,0.2288545072
en,101,What does it mean when you have stomach cramps ?,101,0.137057662
en,102,what helps period cramps? *EverLong<3 4/16*,102,0.1321198642
en,103,What does it mean when you have stomach cramps?,103,0.137057662
en,104,how can i ease cramps during my period?,104,0.0980249047
en,105,Is it common to get uterine cramps within the first few weeks of pregnancy?,105,0.1938318908
en,106,How can i get rid of my cramps from my period?,106,0.0759820938
en,107,What is the best way to relive period cramps for a 14 year old?,107,0.7541385889
en,108,Why do you get period pains?,108,0.0173023343
en,109,Me and my boyfriend just had sex but it wasn't our first and i started cramping bad after we did it. What could it be,109,0.1851153374
en,110,When girls on on thier period. What causes cramps to hurt so bad??,110,0.0897618532
en,111,everytime i pee i get cramps. am i pregnant? :DAR,111,0.0561695695
en,112,"Besides pills and heating pads and high calcium intake, what is a good way to get rid of period cramps?",112,0.7556505203
en,113,Can midol help cramps?,113,0.0574190021
en,114,if you get cramps after sex and they last for a long time what does that mean?,114,0.1048554778
en,115,Why do females have cramps,115,0.0937731564
en,116,is it normal to still have cramps after your period?,116,0.1204769611
en,117,What can you do to get your menstrual cramps to go away?,117,0.0321187377
en,118,Does it mean your egg is released for your period if i have pain on my right lower stomach,118,0.2331126928
en,119,What causes severe abdominal cramping?,119,0.068056196
en,120,Whats an easy way to get rid of cramps without taking medicine?,120,0.8208380938
en,121,Can pickles or pickle juice help your cramps?,121,0.1795073152
en,122,What is a good natural way to rid of mentrual cramps?,122,0.7903289795
en,123,is it normal to have back pain after period,123,0.1083906293
en,124,what causes cramping in early pregnancy?,124,0.5
en,125,"Im running and got a huge cramp, how do i get rid of it so i can continue running?",125,0.1987137496
en,126,what's best for period cramps?,126,0.1970125735
en,127,Why do i have cramps but i dont have my period?,127,0.0013957024
en,128,What helps reduce cramps when running?,128,0.1825983822
en,129,Is it normal to cramp after your period is over?,129,0.1169632375
en,130,"It feels like i have to poop all the time, and it feels like i'm cramping. I'm a girl what does this mean?",130,0.007240206
en,131,WHAT CAN YOU EAT TO MAKE CRAMPS GO AWAY WHEN YOUR ON YOUR PERIOD ?,131,0.1740582287
